"","Row.names","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","sig.x","baseMean.y.x","log2FoldChange.y.x","lfcSE.y.x","stat.y.x","pvalue.y.x","padj.y.x","sig.y.x","baseMean.y.y","log2FoldChange.y.y","lfcSE.y.y","stat.y.y","pvalue.y.y","padj.y.y","sig.y.y"
"14","g2008",7750.21011852225,6.67922739801705,1.17266377502025,5.69577362266664,1.22813745387659e-08,1.68561865544562e-06,"FDR<0.1",2596.26395837286,5.86443723517697,1.55716920986764,3.76608861645514,0.000165824956182704,0.00484827090191871,"FDR<0.1",4038.27651684941,6.53268502439077,1.57212812035788,4.15531338686548,3.24841985843188e-05,0.00195495813298355,"FDR<0.1"
"15","g2016",854.087689700167,-4.08875076398262,1.27116324412394,-3.21654262966084,0.00129745256384071,0.0164377259434281,"FDR<0.1",1132.23893478288,-4.98442125095894,1.62466515269595,-3.06796833962238,0.00215519450442051,0.0312525921810695,"FDR<0.1",1133.53630037387,-4.28053856358592,1.6383672431095,-2.61268563662307,0.0089833890656625,0.0975661571410324,"FDR<0.1"
"16","g2059",7472.95048638211,-6.34813613526094,1.17008173850945,-5.42537835292405,5.78319055852763e-08,5.01311307889211e-06,"FDR<0.1",10255.5059166714,-6.13880801944997,1.55061146397358,-3.95895952150304,7.52769924961739e-05,0.00316935352058159,"FDR<0.1",10147.2481653111,-6.49766880515335,1.56856266538897,-4.1424349492228,3.43637853486959e-05,0.0019781587739858,"FDR<0.1"
"17","g2081",33528.0839332812,-4.63227090876869,1.2533010423915,-3.69605605683498,0.000218974643113256,0.00405226109221947,"FDR<0.1",45229.8250525042,-5.0530616833542,1.62035053198952,-3.11849910472759,0.00181774694225356,0.0283185839424765,"FDR<0.1",44944.242079095,-4.85554538128925,1.63705288644256,-2.96602841698091,0.00301672614094573,0.0459097173633581,"FDR<0.1"
"18","g2128",95.7090591103659,-6.97090999062903,1.70530616883741,-4.08777621169426,4.35527977248767e-05,0.00110356089004418,"FDR<0.1",132.095243518818,-5.96208234430754,1.82586915539381,-3.2653393189183,0.00109333016853395,0.0193209390976745,"FDR<0.1",130.119134421175,-7.98582724540333,2.23390777029765,-3.57482406014429,0.000350463489686108,0.0107910153568467,"FDR<0.1"
"19","g2130",77.0410768302807,6.65350764266251,1.97956909811596,3.36108885968918,0.000776358442423446,0.0114166281667091,"FDR<0.1",39.0633932342423,6.73599009255395,2.37442675015902,2.83689109049282,0.00455551483303751,0.0520221879599032,"FDR<0.1",34.7596868805492,6.5803550258797,2.45367389550563,2.68183764677648,0.00732189843216986,0.0865552993231508,"FDR<0.1"
"20","g2131",154.440646048287,10.3122638642183,2.09499485101858,4.92233375141925,8.55182052424325e-07,4.40151512607145e-05,"FDR<0.1",34.6836182173627,8.97921405020909,2.69088625678524,3.33689840199207,0.000847189110152386,0.0164438017445971,"FDR<0.1",95.5372567842477,10.4541229624524,2.44590285774989,4.27413661557665,1.91879363937241e-05,0.00133709619922583,"FDR<0.1"
"21","g225",38.1824192372541,-9.6919327404099,2.93782028447295,-3.29902165616936,0.000970224260412891,0.0137755116974141,"FDR<0.1",52.969155131495,-9.09789988036354,2.80885111044543,-3.23901108411573,0.00119944912079014,0.0200020811128947,"FDR<0.1",52.4909231343634,-9.12164128533923,2.8335744046801,-3.21912891021086,0.00128580666863823,0.026063662434261,"FDR<0.1"
"22","g226",27.2476815374862,-9.20509238809115,3.13906150030577,-2.9324345468206,0.00336315805611874,0.0360937941674919,"FDR<0.1",37.8341741450449,-8.61234665107135,2.89167832915469,-2.97832112383986,0.00289832149457652,0.0385574455008831,"FDR<0.1",37.4952650124753,-8.63619258643742,2.9210897350229,-2.95649684530137,0.00311155414560337,0.0463097426620599,"FDR<0.1"
"23","g227",985.298161666764,-8.47273598673108,1.27561362755607,-6.64208644663343,3.09273471789882e-11,7.2767629719705e-09,"FDR<0.1",1363.46964165523,-7.75294689021953,1.61426631842492,-4.8027681688758,1.56487030029881e-06,0.000123520429036919,"FDR<0.1",1349.55758761652,-8.77667085323484,1.68419087755075,-5.21120911544089,1.87613830506403e-07,4.96801423180954e-05,"FDR<0.1"
